CustomerKey;city;First_Name;Last_Name;Full_Name;BirthDate;MaritalStatus;gender;DateFirstPurchase
11000;Rockhampton;Jon;Yang;Jon Yang;1971-10-06;M;Male;2021-01-19
11001;Seaford;Eugene;Huang;Eugene Huang;1976-05-10;S;Male;2021-01-15
11002;Hobart;Ruben;Torres;Ruben Torres;1971-02-09;M;Male;2021-01-07
11003;North Ryde;Christy;Zhu;Christy Zhu;1973-08-14;S;Female;2020-12-29
11004;Wollongong;Elizabeth;Johnson;Elizabeth Johnson;1979-08-05;S;Female;2021-01-23
11005;East Brisbane;Julio;Ruiz;Julio Ruiz;1976-08-01;S;Male;2020-12-30
11006;Matraville;Janet;Alvarez;Janet Alvarez;1976-12-02;S;Female;2021-01-24
11007;Warrnambool;Marco;Mehta;Marco Mehta;1969-11-06;M;Male;2021-01-09
11008;Bendigo;Rob;Verhoff;Rob Verhoff;1975-07-04;S;Female;2021-01-25
11009;Hervey Bay;Shannon;Carlson;Shannon Carlson;1969-09-29;S;Male;2021-01-27
11010;East Brisbane;Jacquelyn;Suarez;Jacquelyn Suarez;1969-08-05;S;Female;2021-01-14
11011;East Brisbane;Curtis;Lu;Curtis Lu;1969-05-03;M;Male;2020-12-30
11012;Bremerton;Lauren;Walker;Lauren Walker;1979-01-14;M;Female;2023-03-16
11013;Lebanon;Ian;Jenkins;Ian Jenkins;1979-08-03;M;Male;2023-04-13
11014;Redmond;Sydney;Bennett;Sydney Bennett;1973-11-06;S;Female;2023-03-23
11015;Burbank;Chloe;Young;Chloe Young;1984-08-26;S;Female;2023-01-18
11016;Imperial Beach;Wyatt;Hill;Wyatt Hill;1984-10-25;M;Male;2023-02-09
11017;Sunbury;Shannon;Wang;Shannon Wang;1949-12-24;S;Female;2021-01-12
11018;Bendigo;Clarence;Rai;Clarence Rai;1955-10-06;S;Male;2021-01-17
11019;Langley;Luke;Lal;Luke Lal;1983-09-04;S;Male;2023-02-12
11020;Metchosin;Jordan;King;Jordan King;1984-03-19;S;Male;2022-12-29
11021;Beaverton;Destiny;Wilson;Destiny Wilson;1984-03-02;S;Female;2023-01-23
11022;Bellingham;Ethan;Zhang;Ethan Zhang;1984-04-10;M;Male;2023-01-20
11023;Bellflower;Seth;Edwards;Seth Edwards;1984-04-09;M;Male;2023-02-17
11024;Concord;Russell;Xie;Russell Xie;1984-03-16;M;Male;2023-06-27
11025;Hawthorne;Alejandro;Beck;Alejandro Beck;1951-06-22;M;Male;2021-01-06
11026;Goulburn;Harold;Sai;Harold Sai;1951-10-01;S;Male;2021-01-23
11027;Warrnambool;Jessie;Zhao;Jessie Zhao;1952-06-05;M;Male;2021-01-16
11028;St. Leonards;Jill;Jimenez;Jill Jimenez;1951-10-09;M;Female;2021-01-26
11029;Bendigo;Jimmy;Moreno;Jimmy Moreno;1952-06-19;M;Male;2021-01-19
11030;Cloverdale;Bethany;Yuan;Bethany Yuan;1958-02-18;M;Female;2021-02-05
11031;Matraville;Theresa;Ramos;Theresa Ramos;1953-02-18;M;Female;2021-02-01
11032;Melbourne;Denise;Stone;Denise Stone;1952-12-08;M;Female;2021-02-18
11033;Milsons Point;Jaime;Nath;Jaime Nath;1958-09-19;M;Male;2021-02-15
11034;North Sydney;Ebony;Gonzalez;Ebony Gonzalez;1952-12-16;M;Female;2021-02-01
11035;Cranbourne;Wendy;Dominguez;Wendy Dominguez;1953-08-23;M;Female;2021-02-06
11036;National City;Jennifer;Russell;Jennifer Russell;1984-06-16;M;Female;2023-01-22
11037;Cliffside;Chloe;Garcia;Chloe Garcia;1983-05-27;S;Female;2023-01-20
11038;Lavender Bay;Diana;Hernandez;Diana Hernandez;1953-09-20;M;Female;2021-02-07
11039;Wollongong;Marc;Martin;Marc Martin;1954-06-16;M;Male;2021-02-07
11040;Tacoma;Jesse;Murphy;Jesse Murphy;1983-01-29;M;Male;2023-04-03
11041;Glendale;Amanda;Carter;Amanda Carter;1983-04-15;M;Female;2023-01-14
11042;Los Angeles;Megan;Sanchez;Megan Sanchez;1982-12-11;M;Female;2023-01-21
11043;Glendale;Nathan;Simmons;Nathan Simmons;1981-08-23;M;Male;2023-05-08
11044;Hervey Bay;Adam;Flores;Adam Flores;1954-11-21;M;Male;2021-02-28
11045;Matraville;Leonard;Nara;Leonard Nara;1955-11-16;S;Male;2023-04-10
11046;Lavender Bay;Christine;Yuan;Christine Yuan;1955-09-19;M;Female;2021-02-06
11047;Geelong;Jaclyn;Lu;Jaclyn Lu;1955-08-27;M;Female;2021-02-03
11048;Sunbury;Jeremy;Powell;Jeremy Powell;1956-05-21;M;Male;2021-02-10
11049;Chula Vista;Carol;Rai;Carol Rai;1986-01-15;S;Female;2023-03-09
11050;Hobart;Alan;Zheng;Alan Zheng;1957-03-06;M;Male;2021-02-20
11051;Caloundra;Daniel;Johnson;Daniel Johnson;1957-01-31;S;Male;2023-12-29
11052;Matraville;Heidi;Lopez;Heidi Lopez;1957-02-03;S;Female;2021-02-17
11053;San Diego;Ana;Price;Ana Price;1986-02-17;M;Female;2023-01-17
11054;Geelong;Deanna;Munoz;Deanna Munoz;1957-09-07;M;Female;2021-02-03
11055;East Brisbane;Gilbert;Raje;Gilbert Raje;1957-09-02;M;Male;2021-01-31
11056;Newcastle;Michele;Nath;Michele Nath;1958-10-01;M;Female;2021-02-26
11057;Lane Cove;Carl;Andersen;Carl Andersen;1970-04-07;M;Male;2021-02-22
11058;Findon;Marc;Diaz;Marc Diaz;1965-04-23;M;Male;2021-03-09
11059;Townsville;Ashlee;Andersen;Ashlee Andersen;1959-09-29;S;Female;2023-02-18
11060;Warrnambool;Jon;Zhou;Jon Zhou;1959-09-14;M;Male;2021-03-19
11061;Gold Coast;Todd;Gao;Todd Gao;1976-02-20;M;Male;2021-03-13
11062;Portland;Noah;Powell;Noah Powell;1981-03-01;M;Male;2023-01-07
11063;Redmond;Angela;Murphy;Angela Murphy;1980-10-04;S;Female;2023-01-12
11064;Downey;Chase;Reed;Chase Reed;1981-06-05;M;Male;2023-01-25
11065;La Jolla;Jessica;Henderson;Jessica Henderson;1979-04-08;M;Female;2023-02-10
11066;Lebanon;Grace;Butler;Grace Butler;1979-05-27;M;Female;2023-05-31
11067;Port Orchard;Caleb;Carter;Caleb Carter;1982-03-25;S;Male;2023-08-18
11068;Warrnambool;Tiffany;Liang;Tiffany Liang;1966-09-19;S;Female;2023-04-30
11069;Gold Coast;Carolyn;Navarro;Carolyn Navarro;1966-09-17;S;Female;2021-04-17
11070;Sunbury;Willie;Raji;Willie Raji;1960-10-02;M;Male;2021-04-28
11071;Hawthorne;Linda;Serrano;Linda Serrano;1960-12-23;S;Female;2023-03-01
11072;St. Leonards;Casey;Luo;Casey Luo;1960-08-05;S;Female;2021-03-31
11073;Springwood;Amy;Ye;Amy Ye;1962-02-11;S;Female;2023-03-23
11074;Cloverdale;Levi;Arun;Levi Arun;1962-02-25;S;Male;2023-03-23
11075;Bendigo;Felicia;Jimenez;Felicia Jimenez;1963-05-16;S;Female;2021-04-28
11076;Wollongong;Blake;Anderson;Blake Anderson;1963-01-10;S;Male;2021-04-21
11077;Melton;Leah;Ye;Leah Ye;1963-03-19;S;Female;2021-04-15
11078;Cliffside;Gina;Martin;Gina Martin;1985-01-06;S;Female;2023-02-15
11079;Geelong;Donald;Gonzalez;Donald Gonzalez;1970-03-07;S;Male;2023-03-15
11080;Perth;Damien;Chander;Damien Chander;1965-01-13;M;Male;2021-04-10
11081;Concord;Savannah;Baker;Savannah Baker;1972-01-21;M;Female;2023-02-12
11082;Fremont;Angela;Butler;Angela Butler;1972-02-01;S;Female;2023-01-22
11083;Lincoln Acres;Alyssa;Cox;Alyssa Cox;1977-03-11;M;Female;2023-01-06
11084;Lebanon;Lucas;Phillips;Lucas Phillips;1963-03-12;S;Male;2023-01-04
11085;Newport Beach;Emily;Johnson;Emily Johnson;1963-01-16;S;Female;2023-12-06
11086;Santa Monica;Ryan;Brown;Ryan Brown;1963-06-22;M;Male;2023-07-02
11087;Chula Vista;Tamara;Liang;Tamara Liang;1963-04-02;M;Female;2023-02-25
